,Link,Name
123,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=429&menuentry=soorten,Chrysoperla carnea
124,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=684&menuentry=soorten,Chrysops relictus
125,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=707&menuentry=soorten,Chrysotoxum intermedium
126,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=406&menuentry=soorten,Cicadella viridis
127,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=395&menuentry=soorten,Cicadetta montana
128,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=443&menuentry=soorten,Cicindela campestris
129,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=447&menuentry=soorten,Cicindela gallica
130,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=446&menuentry=soorten,Cicindela germanica
131,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=444&menuentry=soorten,Cicindela hybrida
132,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=445&menuentry=soorten,Cicindela sylvatica
133,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=1019&menuentry=soorten,Cilix glaucata
134,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=747&menuentry=soorten,Cimbex femoratus
135,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=125&menuentry=groepen,Familie Cimbicidae
136,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=347&menuentry=soorten,Cimex lectularius
137,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=52&menuentry=groepen,Familie Cimicidae
138,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=495&menuentry=soorten,Claviger longicornis
139,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=638&menuentry=soorten,Cleonis pigra
140,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=73&menuentry=groepen,Familie Cleridae
141,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=513&menuentry=soorten,Clerus mutillarius
142,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=1011&menuentry=soorten,Clostera curtula
143,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=619&menuentry=soorten,Clytra laeviuscula
144,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=595&menuentry=soorten,Clytus arietis
145,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=60&menuentry=groepen,Suborde Coccina
146,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=523&menuentry=soorten,Coccinella septempunctata
147,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=75&menuentry=groepen,Familie Coccinellidae
148,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=881&menuentry=soorten,Coelioxys conoidea
149,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=212&menuentry=soorten,Coenagrion hastulatum
150,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=210&menuentry=soorten,Coenagrion puella
151,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=211&menuentry=soorten,Coenagrion pulchellum
152,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=18&menuentry=groepen,Familie Coenagrionidae
153,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=1109&menuentry=soorten,Coenonympha arcania
154,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=1107&menuentry=soorten,Coenonympha glycerion
155,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=1110&menuentry=soorten,Coenonympha hero
156,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=1108&menuentry=soorten,Coenonympha pamphilus
157,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=944&menuentry=soorten,Coleophora soort
158,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=144&menuentry=groepen,Familie Coleophoridae
159,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=66&menuentry=groepen,Orde Coleoptera
160,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=1152&menuentry=soorten,Colias alfacariensis
161,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=1151&menuentry=soorten,Colias palaeno
162,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=3&menuentry=groepen,Klasse Collembola
163,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=848&menuentry=soorten,Colletes cunicularius
164,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=849&menuentry=soorten,Colletus daviesanus
165,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=973&menuentry=soorten,Colostygia pectinataria
166,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=331&menuentry=soorten,Columbicula columbae
167,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=478&menuentry=soorten,Colymbetes fuscus
168,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=264&menuentry=soorten,Conocephalus dorsalis
169,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=116&menuentry=groepen,Familie Conopidae
170,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=700&menuentry=soorten,Conops flavipes
171,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=675&menuentry=soorten,Contarinia petioli
172,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=370&menuentry=soorten,Copium teucrii
173,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=561&menuentry=soorten,Copris lunaris
174,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=384&menuentry=soorten,Coptosoma scutellatum
175,http://soortenbank.nl/soorten.php?soortengroep=insecten&id=359&menuentry=soorten,Coranus subapterus
